admin_project_id,project_location_id,location_name,project_name,address,city,state,yelp_url,yelp_business_name,search_strategy,is_closed,oldest_review_date,oldest_review_rating,oldest_review_text
1,101,Restaurant A,Restaurant A Group,123 Main St,Washington,DC,https://www.yelp.com/biz/restaurant-a-washington,Restaurant A Washington,name_street_city_state,No,"Mar 15, 2015",4.5,"Great food and atmosphere..."
2,102,Cafe B,Cafe B,456 Oak Ave,San Francisco,CA,https://www.yelp.com/biz/cafe-b-san-francisco,Cafe B San Francisco,name_street_city_state,No,"Jan 22, 2012",5.0,"Best coffee in the city..."
3,103,Bistro C,Bistro C,789 Pine Rd,Austin,TX,https://www.yelp.com/biz/bistro-c-austin,Bistro C Austin,name_street_city_state,No,"Jul 8, 2018",4.0,"Nice place for brunch..."
4,104,Diner D,Diner D,321 Elm St,Seattle,WA,https://www.yelp.com/biz/diner-d-seattle,Diner D Seattle,name_street_city_state,Yes,"Nov 3, 2010",3.5,"Classic diner experience..."
5,105,Pizzeria E,Pizzeria E,654 Maple Dr,New York,NY,https://www.yelp.com/biz/pizzeria-e-new-york,Pizzeria E New York,name_street_city_state,No,"Feb 14, 2019",4.5,"Amazing NY-style pizza..."
6,106,Steakhouse F,Steakhouse F,987 Cedar Ln,Chicago,IL,https://www.yelp.com/biz/steakhouse-f-chicago,Steakhouse F Chicago,name_street_city_state,No,"Sep 30, 2013",5.0,"Best steaks in Chicago..."
7,107,Bakery G,Bakery G,147 Birch Pl,Boston,MA,https://www.yelp.com/biz/bakery-g-boston,Bakery G Boston,name_street_city_state,No,"Apr 18, 2016",4.0,"Fresh baked goods daily..."
8,108,Bar H,Bar H,258 Willow Way,Denver,CO,https://www.yelp.com/biz/bar-h-denver,Bar H Denver,name_street_city_state,No,"Dec 5, 2017",4.5,"Great craft cocktails..."
9,109,Grill I,Grill I,369 Spruce St,Miami,FL,https://www.yelp.com/biz/grill-i-miami,Grill I Miami,name_street_city_state,No,"Jun 21, 2014",4.0,"Excellent seafood grill..."
10,110,Cafe J,Cafe J,741 Aspen Ave,Portland,OR,https://www.yelp.com/biz/cafe-j-portland,Cafe J Portland,name_street_city_state,No,"Oct 12, 2011",5.0,"Cozy neighborhood cafe..."
11,111,Restaurant K,Restaurant K,852 Cherry Rd,Atlanta,GA,https://www.yelp.com/biz/restaurant-k-atlanta,Restaurant K Atlanta,name_street_city_state,Yes,"May 27, 2008",3.5,"Southern comfort food..."
12,112,Bistro L,Bistro L,963 Walnut Dr,Nashville,TN,https://www.yelp.com/biz/bistro-l-nashville,Bistro L Nashville,name_street_city_state,No,"Aug 9, 2020",4.5,"Modern southern cuisine..."
13,113,Brewery M,Brewery M,159 Hickory Ln,San Diego,CA,https://www.yelp.com/biz/brewery-m-san-diego,Brewery M San Diego,name_street_city_state,No,"Jan 16, 2015",4.0,"Great local beer selection..."
14,114,Tavern N,Tavern N,267 Pecan St,Philadelphia,PA,https://www.yelp.com/biz/tavern-n-philadelphia,Tavern N Philadelphia,name_street_city_state,No,"Mar 4, 2009",4.5,"Historic tavern with charm..."
15,115,Kitchen O,Kitchen O,378 Chestnut Ave,Phoenix,AZ,https://www.yelp.com/biz/kitchen-o-phoenix,Kitchen O Phoenix,name_street_city_state,No,"Nov 28, 2021",4.0,"Fresh farm-to-table dishes..."
16,116,Deli P,Deli P,489 Poplar Rd,Minneapolis,MN,https://www.yelp.com/biz/deli-p-minneapolis,Deli P Minneapolis,name_street_city_state,No,"Jul 15, 2006",4.5,"Amazing sandwiches..."
17,117,Lounge Q,Lounge Q,591 Sycamore Dr,Detroit,MI,https://www.yelp.com/biz/lounge-q-detroit,Lounge Q Detroit,name_street_city_state,Yes,"Feb 23, 2012",3.5,"Upscale cocktail lounge..."
18,118,Market R,Market R,612 Magnolia Pl,New Orleans,LA,https://www.yelp.com/biz/market-r-new-orleans,Market R New Orleans,name_street_city_state,No,"Sep 7, 2019",4.0,"Fresh local produce..."
19,119,Roastery S,Roastery S,723 Dogwood Way,Charleston,SC,https://www.yelp.com/biz/roastery-s-charleston,Roastery S Charleston,name_street_city_state,No,"Apr 11, 2017",5.0,"Best coffee roasters..."
20,120,Eatery T,Eatery T,834 Redwood St,Las Vegas,NV,https://www.yelp.com/biz/eatery-t-las-vegas,Eatery T Las Vegas,name_street_city_state,No,"Dec 19, 2018",4.5,"Great food off the strip..."
